Sample,Experiment,DPH,pH.level,CO2.level,Temp.level,pH,pH.sd,CO2,CO2.sd,Temp,Temp.sd,Salinity,DO,DO.sd,PO2,PO2.sd,Alkalinity,Alkalinity.sd,DIC,DIC.sd,fCO2,fCO2.sd,Carbonate,Carbonate.sd
2016-155t,exp2,12,pH 7.2,4200uatm,20C,7.2,0.09,3996,NA,19.9,0.2,31,8.58,0.11,23.4,0.3,2059,NA,2161,NA,3982,NA,20.2,NA
2016-156t,exp2,12,pH 7.2,4200uatm,20C,7.2,0.09,3996,NA,19.9,0.2,31,8.58,0.11,23.4,0.3,2059,NA,2161,NA,3982,NA,20.2,NA
2016-158t,exp2,12,pH 7.2,4200uatm,20C,7.2,0.09,3996,NA,19.9,0.2,31,8.58,0.11,23.4,0.3,2059,NA,2161,NA,3982,NA,20.2,NA
2016-159t,exp2,12,pH 7.2,4200uatm,20C,7.2,0.09,3996,NA,19.9,0.2,31,8.58,0.11,23.4,0.3,2059,NA,2161,NA,3982,NA,20.2,NA
2016-160t,exp2,12,pH 7.2,4200uatm,20C,7.2,0.09,3996,NA,19.9,0.2,31,8.58,0.11,23.4,0.3,2059,NA,2161,NA,3982,NA,20.2,NA
2016-161t,exp2,12,pH 7.2,4200uatm,20C,7.2,0.09,3996,NA,19.9,0.2,31,8.58,0.11,23.4,0.3,2059,NA,2161,NA,3982,NA,20.2,NA
2016-162t,exp2,12,pH 7.2,4200uatm,20C,7.2,0.09,3996,NA,19.9,0.2,31,8.58,0.11,23.4,0.3,2059,NA,2161,NA,3982,NA,20.2,NA
2016-163t,exp2,12,pH 7.2,4200uatm,20C,7.2,0.09,3996,NA,19.9,0.2,31,8.58,0.11,23.4,0.3,2059,NA,2161,NA,3982,NA,20.2,NA
2016-164t,exp2,12,pH 7.2,4200uatm,20C,7.2,0.09,3996,NA,19.9,0.2,31,8.58,0.11,23.4,0.3,2059,NA,2161,NA,3982,NA,20.2,NA
2016-165t,exp2,12,pH 7.2,4200uatm,20C,7.2,0.09,3996,NA,19.9,0.2,31,8.58,0.11,23.4,0.3,2059,NA,2161,NA,3982,NA,20.2,NA
2016-166t,exp2,12,pH 7.2,4200uatm,20C,7.2,0.09,3996,NA,19.9,0.2,31,8.58,0.11,23.4,0.3,2059,NA,2161,NA,3982,NA,20.2,NA
2016-167t,exp2,12,pH 7.2,4200uatm,20C,7.2,0.09,3996,NA,19.9,0.2,31,8.58,0.11,23.4,0.3,2059,NA,2161,NA,3982,NA,20.2,NA
2016-168t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-169t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-170t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-171t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-172t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-173t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-174t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-175t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-176t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-177t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-178t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-179t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-180t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-181t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-182t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-183t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-184t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-185t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-186t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-187t,exp2,15,pH 8.2,400uatm,17C,8.17,0.04,341,NA,16.9,0.3,31,8.53,0.16,22,0.4,2059,NA,1852,NA,340,NA,147.3,NA
2016-189t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-190t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-191t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-192t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-193t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-194t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-195t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-197t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-198t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-199t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-200t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-201t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
